"family","config_id","stage","entry_point","backbone","varied_params","wall_clock_sec","platform","gpu","pytorch","cuda","coverage_status","notes"
"Classification (ArcFace)","arcface_resnet101_m0.5","training","train_classifier.py","ResNet101","backbone=ResNet101; margin=0.5","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Classification (ArcFace)","arcface_resnet152_m0.5","training","train_classifier.py","ResNet152","backbone=ResNet152; margin=0.5","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimCLR)","simclr_resnet18","training","train_contrastive.py","ResNet18","mode=simclr; backbone=ResNet18","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimCLR)","simclr_resnet34","training","train_contrastive.py","ResNet34","mode=simclr; backbone=ResNet34","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimCLR)","simclr_resnet50","training","train_contrastive.py","ResNet50","mode=simclr; backbone=ResNet50","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimCLR)","simclr_resnet101","training","train_contrastive.py","ResNet101","mode=simclr; backbone=ResNet101","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimCLR)","simclr_resnet152","training","train_contrastive.py","ResNet152","mode=simclr; backbone=ResNet152","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimSiam)","simsiam_resnet18","training","train_contrastive.py","ResNet18","mode=simsiam; backbone=ResNet18","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimSiam)","simsiam_resnet34","training","train_contrastive.py","ResNet34","mode=simsiam; backbone=ResNet34","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimSiam)","simsiam_resnet50","training","train_contrastive.py","ResNet50","mode=simsiam; backbone=ResNet50","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Contrastive learning(SimSiam)","simsiam_resnet101","training","train_contrastive.py","ResNet101","mode=simsiam; backbone=ResNet101","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
